"Obj" "AbuOrd" "AbuRnd" "RowSpO" "RowSpR" "ColSpO" "ColSpR" "IntOrd" "IntRnd" "H2Ord" "H2Rnd" "GenOrd" "GenRnd" "VulOrd" "VulRnd" "50%rOrd" "50%rRnd" "50%cOrd" "50%cRnd" "50%intOrd" "50%intRnd"
"114" 5989 3635 3635 9 22.58 9 23.7 9 25.62 1 0.999175152151784 1 1.07259870696475 1 1.11535658008782 3 4.03 3 4.03 3 4.03
"115" 6042 3582 3582 9 22.45 9 23.41 9 25.31 1 0.999142469502483 1 1.0712451957241 1 1.11222539094852 3 4 3 4 3 4
"116" 6095 3529 3529 9 22.31 9 23.18 9 25.05 1 0.999181566730555 1 1.0699981886155 1 1.10941847524307 3 4 3 4 3 4
"117" 6148 3476 3476 8 22.1 8 22.9 8 24.72 1 0.999051133856506 1 1.06853682307835 1 1.10657889693928 3 4 3 4 3 4
"118" 6201 3423 3423 8 21.98 8 22.67 8 24.45 1 0.999087517967533 1 1.06700733178463 1 1.104154873565 2 4 2 4 2 4
"119" 6254 3370 3370 8 21.75 8 22.37 8 24.09 1 0.999013225689177 1 1.06547685253718 1 1.10186946778648 2 4 2 4 2 4
"120" 6307 3317 3317 8 21.43 8 22.04 8 23.66 1 0.999013567747795 1 1.06404567277456 1 1.09964828334199 2 4 2 4 2 4
"121" 6360 3264 3264 8 21.07 8 21.78 8 23.28 1 0.999052961964047 1 1.06264159490542 1 1.09745061363596 2 4 2 4 2 4
"122" 6413 3211 3211 7 20.75 7 21.48 7 22.93 1 0.999002252661835 1 1.06145720225368 1 1.09545274062882 2 4 2 4 2 4
"123" 6466 3158 3158 7 20.42 7 21.15 7 22.54 1 0.999014385347563 1 1.06026324329738 1 1.0933465018828 2 3.99 2 3.99 2 3.99
"124" 6519 3105 3105 7 20.04 7 20.79 7 22.09 1 0.999101376661634 1 1.05910857518815 1 1.09131959372089 2 3.96 2 3.96 2 3.96
"125" 6572 3052 3052 7 19.77 7 20.58 7 21.8 1 0.999069442996243 1 1.05808286061134 1 1.08908696980973 2 3.86 2 3.86 2 3.86
"126" 6625 2999 2999 7 19.57 7 20.39 7 21.57 1 0.998883356603467 1 1.05705543327056 1 1.08703551395273 2 3.55 2 3.55 2 3.55
"127" 6678 2946 2946 7 19.32 7 20.2 7 21.32 1 0.998899978626943 1 1.05611543758863 1 1.08495342209956 2 3.3 2 3.3 2 3.3
"128" 6731 2893 2893 6 19.1 6 20.03 6 21.1 1 0.998860124406634 1 1.05512840552138 1 1.08275968835769 2 3.06 2 3.06 2 3.06
"129" 6784 2840 2840 6 18.86 6 19.8 6 20.86 1 0.998882556290729 1 1.05423588320782 1 1.08062460774832 2 3.02 2 3.02 2 3.02
"130" 6837 2787 2787 6 18.65 6 19.62 6 20.65 1 0.998762114807278 1 1.05316819813528 1 1.07810371768553 2 3.01 2 3.01 2 3.01
"131" 6890 2734 2734 6 18.49 6 19.47 6 20.49 1 0.998814711891658 1 1.05231064658958 1 1.07536637651448 2 3.01 2 3.01 2 3.01
"132" 6943 2681 2681 6 18.35 6 19.33 6 20.35 1 0.998775608640598 1 1.05135097924111 1 1.07244555442701 2 3 2 3 2 3
"133" 6996 2628 2628 6 18.17 6 19.17 6 20.17 1 0.998728410913744 1 1.05034905112111 1 1.06949441434163 2 3 2 3 2 3
"134" 7049 2575 2575 5 18.07 5 19.06 5 20.06 1 0.998688102216139 1 1.04930283321791 1 1.06622754138208 2 3 2 3 2 3
"135" 7102 2522 2522 5 18.03 5 19 5 20 1 0.998805038916863 1 1.04810315578957 1 1.06282915363955 2 3 2 3 2 3
"136" 7155 2469 2469 5 17.92 5 18.87 5 19.87 1 0.998937402487751 1 1.04673346123951 1 1.05945288769967 1 3 1 3 1 3
"137" 7208 2416 2416 5 17.84 5 18.78 5 19.78 1 0.998968425068865 1 1.04537681194935 1 1.05601910473369 1 3 1 3 1 3
"138" 7261 2363 2363 5 17.74 5 18.66 5 19.66 1 0.999041851947629 1 1.04389010493994 1 1.0523970512002 1 3 1 3 1 3
"139" 7314 2310 2310 5 17.61 5 18.48 5 19.48 1 0.999047478624672 1 1.04251663505174 1 1.04803233147872 1 2.97 1 2.97 1 2.97
"140" 7367 2257 2257 5 17.38 5 18.2 5 19.2 1 0.999207128992616 1 1.04074504051259 1 1.04406518420302 1 2.8 1 2.8 1 2.8
