"Obj" "AbuOrd" "AbuRnd" "RowSpO" "RowSpR" "ColSpO" "ColSpR" "IntOrd" "IntRnd" "H2Ord" "H2Rnd" "GenOrd" "GenRnd" "VulOrd" "VulRnd" "50%rOrd" "50%rRnd" "50%cOrd" "50%cRnd" "50%intOrd" "50%intRnd"
"82" 81 792 313.28 51 40.96 40 40 86 61.58 0.912628149291724 0.905756146876965 1.62669822038629 1.58916621579425 1.9502769160728 1.57217390906611 7 4.07 9 3.78 11 5.22
"83" 82 787 305.41 50 40.29 39 39 85 60.03 0.911971180123682 0.907475728101851 1.63067978468353 1.58773528315258 1.95631425353197 1.55748036804158 7 3.98 8 3.64 11 5.11
"84" 83 782 296.97 49 39.62 38 38 83 58.46 0.911437668860754 0.908163127536526 1.63056018683326 1.59004128700152 1.94788238992401 1.54018832617844 6 3.94 8 3.57 11 4.94
"85" 84 777 290.58 48 38.86 37 37 81 56.78 0.911863055595671 0.909846788168422 1.63043904975711 1.5871297616076 1.94980322326672 1.5255226483373 6 3.8 8 3.48 11 4.78
"86" 85 772 283.61 44 38.15 36 36 77 55.27 0.91146033096213 0.911448931968241 1.61645684531075 1.58915486588398 1.95595479854695 1.50543504581836 6 3.71 8 3.39 11 4.68
"87" 86 766 275.58 43 37.46 35 35 75 53.87 0.9133202979713 0.911744619699647 1.61682706146294 1.58999905068824 1.95183825287627 1.49944290876782 6 3.55 8 3.29 10 4.46
"88" 87 760 268.15 43 36.79 34 34 74 52.4 0.916651673155592 0.91398277410331 1.62169674879028 1.59004763890239 1.89921815935654 1.48199963810779 6 3.45 8 3.22 10 4.37
"89" 88 754 260.49 42 36.06 33 33 72 50.78 0.917084556768072 0.917134045670187 1.62211455382139 1.58388908922411 1.86485302901981 1.46385397285311 6 3.36 8 3.13 10 4.22
"90" 89 748 253.59 39 35.28 32 32 68 49.3 0.917997280725109 0.918480049833236 1.60480721214334 1.58651543251428 1.86655312611456 1.45079292057382 6 3.3 8 3.03 10 4.15
"91" 90 742 247.35 37 34.59 31 31 66 47.89 0.917875531033573 0.92068678222953 1.60509520105651 1.58960292677491 1.87356029425026 1.43780865108474 6 3.23 8 2.93 10 4.03
"92" 91 735 240.79 37 33.8 30 30 62 46.43 0.923961515820056 0.922369721533885 1.58622954747556 1.58332562387257 1.82170898937076 1.42362008898447 6 3.16 8 2.9 10 3.9
"93" 92 728 233.38 36 32.99 29 29 61 44.92 0.922888504166717 0.924543652425481 1.59186637004744 1.58318580838078 1.82961003734548 1.40582154304323 6 3.04 7 2.78 10 3.83
"94" 93 721 224.25 36 32.18 28 28 59 43.27 0.919155910051408 0.925916994684095 1.5926903827103 1.58153196471489 1.80072354214698 1.3868318097926 6 2.97 7 2.69 9 3.7
"95" 94 714 216.73 34 31.21 27 27 57 41.78 0.918066255360411 0.926944462763102 1.59047196968145 1.58282857208196 1.80857377295235 1.37980669338191 6 2.91 7 2.56 9 3.52
"96" 95 706 208.64 34 30.35 26 26 54 40.3 0.919815544103424 0.927134651769839 1.57847333898592 1.58614746804529 1.71446733643193 1.36399532701922 6 2.84 7 2.5 9 3.4
"97" 96 698 200.44 33 29.33 25 25 53 38.59 0.91838709141168 0.928665862361029 1.58510340590839 1.57887326839404 1.72265607381224 1.3494636869876 6 2.77 7 2.43 9 3.3
"98" 97 689 193.3 32 28.38 24 24 51 37.11 0.91690118257256 0.929433949851353 1.58362304530893 1.57824689583807 1.66848372020566 1.3375542059722 6 2.65 7 2.35 9 3.14
"99" 98 678 184.06 32 27.52 23 23 49 35.55 0.917098044553893 0.932092700271781 1.58731391249351 1.58419555549093 1.61350641447871 1.31898824355613 6 2.53 7 2.24 9 2.99
"100" 99 667 176.33 32 26.55 22 22 48 33.95 0.912803471841392 0.934076979240368 1.59699974913134 1.5798711932987 1.55988761777204 1.29877322911605 6 2.44 6 2.09 8 2.88
"101" 100 653 167.18 32 25.63 21 21 47 32.47 0.920200977665645 0.936345837162859 1.60979913119541 1.58032385828132 1.52144126003762 1.28895983967774 6 2.37 6 1.98 8 2.79
"102" 101 637 156.3 30 24.62 20 20 44 30.74 0.921465525970944 0.938563892398066 1.59260048968608 1.56995094586173 1.52268449977572 1.26212684454871 5 2.21 6 1.85 8 2.59
"103" 102 621 147.38 28 23.61 19 19 41 29.23 0.938076950149427 0.938854584345405 1.57757073107202 1.57494350307155 1.48046062244058 1.25560385395888 5 2.11 6 1.8 7 2.46
"104" 103 603 141.79 28 22.59 18 18 39 27.66 0.951891234964768 0.941338146880372 1.57782082503792 1.57434623247791 1.43057142549847 1.2414403056326 5 2.02 5 1.67 7 2.35
"105" 104 585 134.27 28 21.67 17 17 38 26.23 0.94934282548958 0.946295760528112 1.59559992734678 1.57984977803158 1.43068659795956 1.21987530310915 5 1.97 5 1.58 7 2.23
"106" 105 565 125.32 27 20.57 16 16 37 24.61 0.945236123412921 0.952409898184953 1.61668311061569 1.57801748390074 1.44593214125016 1.20294281036026 4 1.91 5 1.5 6 2.12
"107" 106 543 116.66 27 19.32 15 15 36 22.99 0.945883760171568 0.953087637178183 1.64166843001449 1.55089844447676 1.44949818318778 1.19699779410457 4 1.83 5 1.43 6 2.01
"108" 107 521 109.62 26 18.32 14 14 35 21.47 0.936524408269216 0.954182225004454 1.66876383396903 1.55048588456638 1.46847891261221 1.18217345026538 4 1.71 4 1.36 5 1.9
"109" 108 498 100.24 24 17.18 13 13 33 19.86 0.930228950117753 0.954867328966288 1.67781117377946 1.55731312951457 1.49011548889751 1.17374049551192 3 1.62 4 1.21 5 1.78
"110" 109 474 92.02 23 15.96 12 12 32 18.33 0.922976148202277 0.955160984257154 1.71213072688222 1.5501286985402 1.51493146301891 1.16175125417344 3 1.45 4 1.09 5 1.61
"111" 110 449 83.83 23 14.7 11 11 31 16.72 0.917939968890688 0.956589231250913 1.7517816582231 1.53680865187365 1.5254303387821 1.13771681877019 2 1.4 3 1.06 4 1.52
"112" 111 424 76.97 23 13.56 10 10 30 15.21 0.948450664748282 0.96062862916325 1.79610840693908 1.5375488318298 1.41882326251946 1.12364676573197 3 1.31 3 0.91 4 1.39
"113" 112 396 68.39 21 12.42 9 9 26 13.77 0.980660621911225 0.95985570380335 1.70031580718647 1.54271820490346 1.37001479335758 1.1136405061154 2 1.21 3 0.85 3 1.31
"114" 113 367 60.93 18 11.11 8 8 21 12.2 1 0.959707579848687 1.59562960718913 1.54284488608645 1.34125698419098 1.10886791196136 2 1.11 3 0.77 3 1.19
"115" 114 336 52.87 14 9.87 7 7 16 10.67 1 NA 1.45510396652066 1.5406837949541 1.33861831558019 1.08764522539097 2 0.96 2 0.6 3 1.02
"116" 115 302 45.61 11 8.43 6 6 13 9.01 1 NA 1.38575805248182 1.49243062794665 1.37674090740048 1.08117632910519 1 0.78 2 0.48 2 0.83
"117" 116 268 38.41 10 7.05 5 5 11 7.52 1 NA 1.4028899534778 1.46293738083691 1.4066270173465 1.07432047635278 1 0.72 2 0.47 2 0.75
"118" 117 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"119" 118 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"120" 119 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"121" 120 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"122" 121 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
